antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'PMBS3906,215'})","frozenset({'PMBS3904,215'})",0.006249168993484909,0.007977662544874352,0.0034569871027788856,0.553191489361702,69.34255319148934,0.003407133341362971,2.2202404695424236,0.9917766204894918
"frozenset({'BAW56,215', 'BAS316,115'})","frozenset({'BAV99,215'})",0.0031910650179497405,0.015955325089748704,0.002991623454327882,0.9375,58.7578125,0.002940708974583969,15.74471479856402,0.9861277844471121
"frozenset({'BAW56,215', 'BAV99,215'})","frozenset({'BAS316,115'})",0.003789389708815317,0.009373753490227364,0.002991623454327882,0.7894736842105263,84.22172452407614,0.0029561026493190425,4.70547467092142,0.9918852185518853
"frozenset({'BAS316,115', 'BAV99,215'})","frozenset({'BAW56,215'})",0.005052519611753756,0.005717324823826619,0.002991623454327882,0.5921052631578947,103.56334149326804,0.002962736558528731,2.43759623591578,0.9953732163273791
"frozenset({'BAW56,215'})","frozenset({'BAS316,115', 'BAV99,215'})",0.005717324823826619,0.005052519611753756,0.002991623454327882,0.5232558139534883,103.56334149326804,0.002962736558528731,2.086963007643638,0.996038750705774
"frozenset({'BAS316,115', '2N7002BK,215'})","frozenset({'BAV99,215'})",0.002792181890706023,0.015955325089748704,0.002526259805876878,0.9047619047619048,56.705952380952375,0.0024817096361009544,10.332469086557639,0.9851157894736843
"frozenset({'BAV99,215', '2N7002BK,215'})","frozenset({'BAS316,115'})",0.002991623454327882,0.009373753490227364,0.002526259805876878,0.8444444444444444,90.08605200945625,0.002498217065080426,6.368311584705681,0.9918667944115138
"frozenset({'BAS316,115', 'BAV99,215'})","frozenset({'2N7002BK,215'})",0.005052519611753756,0.005185480654168329,0.002526259805876878,0.5,96.42307692307692,0.0025000600631753227,1.9896290386916633,0.994654550314045
"frozenset({'PMBT2907A,215'})","frozenset({'PMBT2222A,215'})",0.006382130035899481,0.009573195053849222,0.0033240260603643133,0.5208333333333334,54.40538194444445,0.003262928684671618,2.066977679887619,0.9879245283018868
"frozenset({'PBSS5240T,215'})","frozenset({'BAV99,215'})",0.0043877143996808934,0.015955325089748704,0.002991623454327882,0.6818181818181818,42.73295454545454,0.0029216160446800016,3.0927118354322176,0.9809027777777778
"frozenset({'PBSS5240T,215'})","frozenset({'BAS316,115'})",0.0043877143996808934,0.009373753490227364,0.002792181890706023,0.6363636363636364,67.88781431334623,0.0027510525375378935,2.7242221779018747,0.9896119505494506
"frozenset({'PDZ12B,115'})","frozenset({'BAV99,215'})",0.003523467623986172,0.015955325089748704,0.002526259805876878,0.7169811320754718,44.93679245283019,0.0024700417344929743,3.4769578513495554,0.9812037599502794
"frozenset({'PDZ12B,115'})","frozenset({'BAS316,115'})",0.003523467623986172,0.009373753490227364,0.0029251429331205955,0.830188679245283,88.56523484544358,0.002892114816182552,5.833687896113103,0.9922048896463467
"frozenset({'PDZ15B,115'})","frozenset({'PDZ12B,115'})",0.003789389708815317,0.003523467623986172,0.002526259805876878,0.6666666666666667,189.20754716981133,0.002512908013923201,2.989429597128042,0.9984984984984985
"frozenset({'PDZ12B,115'})","frozenset({'PDZ15B,115'})",0.003523467623986172,0.003789389708815317,0.002526259805876878,0.7169811320754718,189.20754716981133,0.002512908013923201,3.5199441563621865,0.9982320368270066
"frozenset({'PBSS4240T,215'})","frozenset({'PBSS5240T,215'})",0.0033240260603643133,0.0043877143996808934,0.0030581039755351682,0.92,209.67636363636365,0.0030435190985251934,12.445153570003995,0.998549951278363
"frozenset({'PBSS5240T,215'})","frozenset({'PBSS4240T,215'})",0.0043877143996808934,0.0033240260603643133,0.0030581039755351682,0.696969696969697,209.67636363636365,0.0030435190985251934,3.2890307140007984,0.9996167781493869
"frozenset({'BAV70,215', 'BAS316,115'})","frozenset({'BAV99,215'})",0.0035899481451934583,0.015955325089748704,0.0031910650179497405,0.8888888888888888,55.71111111111111,0.0031337862282378387,8.856402074192257,0.9855884707766214
"frozenset({'BAV70,215', 'BAV99,215'})","frozenset({'BAS316,115'})",0.00498603909054647,0.009373753490227364,0.0031910650179497405,0.64,68.27574468085106,0.0031443271166223205,2.7517395736382575,0.99029114050912
"frozenset({'BAS316,115', 'BAV99,215'})","frozenset({'BAV70,215'})",0.005052519611753756,0.007977662544874352,0.0031910650179497405,0.631578947368421,79.16842105263157,0.0031507577214858096,2.6926320588067694,0.9923827341975144
"frozenset({'BAT54S,215', 'BAV70,215'})","frozenset({'BAV99,215'})",0.0028586624119133095,0.015955325089748704,0.002526259805876878,0.8837209302325582,55.38720930232558,0.002480648917772956,8.462784204228162,0.9847603875346075
"frozenset({'BAT54S,215', 'BAV99,215'})","frozenset({'BAV70,215'})",0.004121792314851749,0.007977662544874352,0.002526259805876878,0.6129032258064516,76.82741935483871,0.0024933775377089344,2.562724371759075,0.9910687934790247
"frozenset({'BAV70,215', 'BAV99,215'})","frozenset({'BAT54S,215'})",0.00498603909054647,0.009307272969020078,0.002526259805876878,0.5066666666666667,54.437714285714286,0.0024798533790269576,2.008160933170905,0.9865493559515145
"frozenset({'PDZ15B,115', 'BAS316,115'})","frozenset({'BAV99,215'})",0.0030581039755351682,0.015955325089748704,0.0026592208482914504,0.8695652173913043,54.49999999999999,0.002610427805203534,7.544342507645259,0.9846625766871165
"frozenset({'PDZ15B,115', 'BAV99,215'})","frozenset({'BAS316,115'})",0.002991623454327882,0.009373753490227364,0.0026592208482914504,0.8888888888888888,94.82742316784869,0.0026311781074949982,8.915636218587949,0.9924234846969393
"frozenset({'BAS316,115', 'BAV99,215'})","frozenset({'PDZ15B,115'})",0.005052519611753756,0.003789389708815317,0.0026592208482914504,0.5263157894736842,138.89196675900277,0.0026400748824710833,2.1031112883925007,0.9978417746892958
"frozenset({'PDZ15B,115'})","frozenset({'BAS316,115', 'BAV99,215'})",0.003789389708815317,0.005052519611753756,0.0026592208482914504,0.7017543859649122,138.89196675900277,0.0026400748824710833,3.336000375419413,0.9965765765765766
"frozenset({'PDZ13B,115'})","frozenset({'BAS316,115'})",0.0030581039755351682,0.009373753490227364,0.0025927403270841645,0.8478260869565218,90.4468085106383,0.0025640744142700136,6.509829619921367,0.9919773478055687
"frozenset({'PDZ13B,115'})","frozenset({'BAV99,215'})",0.0030581039755351682,0.015955325089748704,0.002526259805876878,0.8260869565217391,51.775,0.0024774667627889616,5.658256880733945,0.9836938973199871
